Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,278356.0,295000.0,11478.89,272501.37,317498.63,0.02,4.45,1
1,1,278356.0,264000.0,11525.53,241409.96,286590.04,0.02,6.58,1
2,1,278356.0,272000.0,11611.67,249241.12,294758.88,0.03,7.69,1
3,1,278356.0,279000.0,12290.48,254910.66,303089.34,0.02,6.32,1
4,1,278356.0,299000.0,11962.27,275553.95,322446.05,0.03,4.35,1
5,1,278356.0,297000.0,12290.14,272911.33,321088.67,0.02,4.92,1
6,1,278356.0,265000.0,11442.41,242572.87,287427.13,0.02,4.53,1
7,1,278356.0,293000.0,13102.79,267318.53,318681.47,0.02,4.52,1
8,1,278356.0,258000.0,12835.05,232843.31,283156.69,0.02,4.51,1
9,1,278356.0,279000.0,11898.69,255678.57,302321.43,0.02,4.08,1
0,2,192924.0,169000.0,10848.11,147737.69,190262.31,0.01,3.98,0
1,2,192924.0,194000.0,10793.05,172845.62,215154.38,0.02,4.38,1
2,2,192924.0,195000.0,11717.08,172034.53,217965.47,0.02,4.12,1
3,2,192924.0,196000.0,12100.61,172282.8,219717.2,0.03,5.93,1
4,2,192924.0,191000.0,12540.11,166421.38,215578.62,0.02,6.47,1
5,2,192924.0,179000.0,11017.61,157405.48,200594.52,0.02,5.57,1
6,2,192924.0,183000.0,12151.83,159182.41,206817.59,0.02,3.82,1
7,2,192924.0,196000.0,11215.54,174017.54,217982.46,0.02,3.81,1
8,2,192924.0,180000.0,11486.68,157486.11,202513.89,0.02,3.53,1
9,2,192924.0,188000.0,11678.65,165109.84,210890.16,0.02,3.58,1
0,3,218426.0,208000.0,11918.01,184640.7,231359.3,0.02,3.98,1
1,3,218426.0,214000.0,12535.42,189430.58,238569.42,0.02,3.56,1
2,3,218426.0,201000.0,11837.63,177798.25,224201.75,0.02,3.75,1
3,3,218426.0,224000.0,12884.95,198745.5,249254.5,0.02,3.71,1
4,3,218426.0,208000.0,12004.97,184470.25,231529.75,0.02,3.85,1
5,3,218426.0,222000.0,11885.03,198705.34,245294.66,0.02,3.59,1
6,3,218426.0,220000.0,10733.26,198962.82,241037.18,0.01,3.67,1
7,3,218426.0,200000.0,11529.2,177402.77,222597.23,0.02,3.56,1
8,3,218426.0,213000.0,12030.27,189420.66,236579.34,0.02,3.68,1
9,3,218426.0,232000.0,12021.28,208438.3,255561.7,0.02,3.9,1
0,4,429156.0,433000.0,11317.44,410817.82,455182.18,0.02,3.99,1
1,4,429156.0,408000.0,11790.89,384889.86,431110.14,0.02,3.6,1
2,4,429156.0,413000.0,11124.94,391195.11,434804.89,0.02,3.68,1
3,4,429156.0,422000.0,11220.64,400007.54,443992.46,0.02,3.76,1
4,4,429156.0,429000.0,10411.01,408594.42,449405.58,0.02,3.96,1
5,4,429156.0,406000.0,10912.74,384611.03,427388.97,0.02,3.77,0
6,4,429156.0,413000.0,11629.35,390206.47,435793.53,0.02,3.66,1
7,4,429156.0,412000.0,12060.03,388362.34,435637.66,0.01,3.7,1
8,4,429156.0,422000.0,10966.93,400504.81,443495.19,0.01,3.68,1
9,4,429156.0,410000.0,11982.02,386515.24,433484.76,0.02,3.98,1
0,5,163131.0,162000.0,10479.11,141460.94,182539.06,0.01,4.16,1
1,5,163131.0,156000.0,10883.18,134668.97,177331.03,0.02,3.52,1
2,5,163131.0,177000.0,11815.4,153841.81,200158.19,0.02,3.6,1
3,5,163131.0,156000.0,11057.39,134327.51,177672.49,0.02,3.89,1
4,5,163131.0,153000.0,10788.14,131855.25,174144.75,0.02,3.67,1
5,5,163131.0,168000.0,10654.31,147117.55,188882.45,0.02,3.51,1
6,5,163131.0,158000.0,10940.16,136557.29,179442.71,0.02,3.85,1
7,5,163131.0,174000.0,11339.8,151773.99,196226.01,0.02,3.73,1
8,5,163131.0,155000.0,10744.41,133940.95,176059.05,0.02,3.52,1
9,5,163131.0,158000.0,11099.55,136244.89,179755.11,0.02,3.63,1
0,6,107671.0,117000.0,9743.39,97902.96,136097.04,0.02,3.89,1
1,6,107671.0,127000.0,9066.04,109230.56,144769.44,0.02,3.49,0
2,6,107671.0,134000.0,9270.62,115829.59,152170.41,0.02,3.7,0
3,6,107671.0,112000.0,9733.45,92922.44,131077.56,0.02,3.53,1
4,6,107671.0,108000.0,8907.72,90540.87,125459.13,0.01,3.96,1
5,6,107671.0,112000.0,9922.95,92551.01,131448.99,0.02,3.9,1
6,6,107671.0,107000.0,9433.76,88509.82,125490.18,0.01,3.51,1
7,6,107671.0,105000.0,9169.84,87027.11,122972.89,0.02,3.56,1
8,6,107671.0,108000.0,9975.29,88448.43,127551.57,0.02,3.5,1
9,6,107671.0,111000.0,9005.28,93349.65,128650.35,0.02,3.74,1
0,7,109024.0,102000.0,8697.47,84952.97,119047.03,0.02,4.38,1
1,7,109024.0,96000.0,7663.48,80979.57,111020.43,0.02,3.57,1
2,7,109024.0,109000.0,9302.53,90767.04,127232.96,0.02,3.69,1
3,7,109024.0,121000.0,9700.29,101987.43,140012.57,0.02,3.71,1
4,7,109024.0,111000.0,10291.83,90828.01,131171.99,0.02,3.75,1
5,7,109024.0,102000.0,9870.15,82654.51,121345.49,0.02,3.62,1
6,7,109024.0,117000.0,9157.68,99050.95,134949.05,0.01,3.64,1
7,7,109024.0,103000.0,9092.03,85179.61,120820.39,0.02,3.64,1
8,7,109024.0,98000.0,9275.83,79819.38,116180.62,0.02,3.72,1
9,7,109024.0,113000.0,9363.63,94647.29,131352.71,0.01,3.57,1
0,8,126798.0,123000.0,10722.12,101984.65,144015.35,0.02,4.09,1
1,8,126798.0,145000.0,10490.97,124437.7,165562.3,0.02,3.53,1
2,8,126798.0,145000.0,10059.68,125283.03,164716.97,0.02,3.85,1
3,8,126798.0,114000.0,8766.58,96817.5,131182.5,0.02,3.47,1
4,8,126798.0,140000.0,10185.01,120037.38,159962.62,0.02,3.83,1
5,8,126798.0,135000.0,10996.86,113446.15,156553.85,0.02,3.53,1
6,8,126798.0,144000.0,10511.04,123398.36,164601.64,0.02,3.59,1
7,8,126798.0,123000.0,9518.95,104342.86,141657.14,0.02,3.53,1
8,8,126798.0,126000.0,9692.55,107002.59,144997.41,0.02,3.64,1
9,8,126798.0,118000.0,9717.61,98953.48,137046.52,0.02,3.54,1
0,9,104695.0,80000.0,8347.36,63639.18,96360.82,0.02,4.14,0
1,9,104695.0,116000.0,9456.85,97464.58,134535.42,0.02,3.64,1
2,9,104695.0,106000.0,9333.22,87706.89,124293.11,0.02,3.81,1
3,9,104695.0,103000.0,9531.34,84318.58,121681.42,0.02,3.62,1
4,9,104695.0,96000.0,9697.16,76993.56,115006.44,0.02,4.1,1
5,9,104695.0,118000.0,9581.5,99220.26,136779.74,0.02,3.74,1
6,9,104695.0,100000.0,9659.55,81067.28,118932.72,0.01,4.03,1
7,9,104695.0,106000.0,9328.6,87715.94,124284.06,0.02,3.67,1
8,9,104695.0,102000.0,9341.19,83691.26,120308.74,0.02,3.62,1
9,9,104695.0,107000.0,8671.03,90004.78,123995.22,0.01,4.03,1
0,10,198159.0,179000.0,11348.96,156756.03,201243.97,0.02,4.09,1
1,10,198159.0,184000.0,10962.96,162512.61,205487.39,0.01,3.66,1
2,10,198159.0,183000.0,10740.16,161949.28,204050.72,0.02,3.87,1
3,10,198159.0,207000.0,11551.12,184359.8,229640.2,0.02,3.77,1
4,10,198159.0,189000.0,11011.43,167417.6,210582.4,0.01,3.77,1
5,10,198159.0,198000.0,11575.91,175311.22,220688.78,0.02,3.74,1
6,10,198159.0,185000.0,12222.48,161043.93,208956.07,0.02,3.71,1
7,10,198159.0,195000.0,11370.33,172714.16,217285.84,0.01,3.62,1
8,10,198159.0,192000.0,11240.81,169968.02,214031.98,0.01,3.61,1
9,10,198159.0,187000.0,11274.03,164902.9,209097.1,0.02,3.74,1
